,Kapitsa + World,,,
1,86475.4092441853,86475.4092441853,1,0.086475409
1000,172690.921846862,172690.921846862,1000,0.172690922
1500,344345.420108419,344345.420108419,1500,0.34434542
1600,429574.347754051,429574.347754051,1600,0.429574348
1700,570459.360059032,570459.360059032,1700,0.57045936
1820,936699.284267404,936699.284267404,1820,0.936699284
1821,941697.981059665,941697.981059665,1821,0.941697981
1822,946749.22650967,946749.22650967,1822,0.946749227
1823,951853.835897359,951853.835897359,1823,0.951853836
1824,957012.641067204,957012.641067204,1824,0.957012641
1825,962226.490840303,962226.490840303,1825,0.962226491
1826,967496.251438469,967496.251438469,1826,0.967496251
1827,972822.806920731,972822.806920731,1827,0.972822807
1828,978207.059632623,978207.059632623,1828,0.97820706
1829,983649.930668724,983649.930668724,1829,0.983649931
1830,989152.360348864,989152.360348864,1830,0.98915236
1831,994715.308708453,994715.308708453,1831,0.994715309
1832,1000339.75600342,1000339.75600342,1832,1.000339756
1833,1006026.70323023,1006026.70323023,1833,1.006026703
1834,1011777.17266153,1011777.17266153,1834,1.011777173
1835,1017592.20839787,1017592.20839787,1835,1.017592208
1836,1023472.87693616,1023472.87693616,1836,1.023472877
1837,1029420.26775527,1029420.26775527,1837,1.029420268
1838,1035435.4939196,1035435.4939196,1838,1.035435494
1839,1041519.69270089,1041519.69270089,1839,1.041519693
1840,1047674.02621928,1047674.02621928,1840,1.047674026
1841,1053899.68210397,1053899.68210397,1841,1.053899682
1842,1060197.87417428,1060197.87417428,1842,1.060197874
1843,1066569.84314188,1066569.84314188,1843,1.066569843
1844,1073016.85733478,1073016.85733478,1844,1.073016857
1845,1079540.2134439,1079540.2134439,1845,1.079540213
1846,1086141.23729309,1086141.23729309,1846,1.086141237
1847,1092821.28463322,1092821.28463322,1847,1.092821285
1848,1099581.74196137,1099581.74196137,1848,1.099581742
1849,1106424.0273659,1106424.0273659,1849,1.106424027
1850,1113349.59139832,1113349.59139832,1850,1.113349591
1851,1120359.91797292,1120359.91797292,1851,1.120359918
1852,1127456.52529513,1127456.52529513,1852,1.127456525
1853,1134640.96681957,1134640.96681957,1853,1.134640967
1854,1141914.83223897,1141914.83223897,1854,1.141914832
1855,1149279.74850489,1149279.74850489,1855,1.149279749
1856,1156737.38088147,1156737.38088147,1856,1.156737381
1857,1164289.43403339,1164289.43403339,1857,1.164289434
1858,1171937.65314913,1171937.65314913,1858,1.171937653
1859,1179683.82510096,1179683.82510096,1859,1.179683825
1860,1187529.77964286,1187529.77964286,1860,1.18752978
1861,1195477.3906477,1195477.3906477,1861,1.195477391
1862,1203528.57738514,1203528.57738514,1862,1.203528577
1863,1211685.30584173,1211685.30584173,1863,1.211685306
1864,1219949.59008458,1219949.59008458,1864,1.21994959
1865,1228323.49367028,1228323.49367028,1865,1.228323494
1866,1236809.13110069,1236809.13110069,1866,1.236809131
1867,1245408.66932715,1245408.66932715,1867,1.245408669
1868,1254124.32930495,1254124.32930495,1868,1.254124329
1869,1262958.38759978,1262958.38759978,1869,1.262958388
1870,1271913.17804811,1271913.17804811,1870,1.271913178
1871,1280991.09347327,1280991.09347327,1871,1.280991093
1872,1290194.58745933,1290194.58745933,1872,1.290194587
1873,1299526.17618476,1299526.17618476,1873,1.299526176
1874,1308988.440318,1308988.440318,1874,1.30898844
1875,1318584.02697718,1318584.02697718,1875,1.318584027
1876,1328315.6517561,1328315.6517561,1876,1.328315652
1877,1338186.10081895,1338186.10081895,1877,1.338186101
1878,1348198.23306609,1348198.23306609,1878,1.348198233
1879,1358354.98237336,1358354.98237336,1879,1.358354982
1880,1368659.35990747,1368659.35990747,1880,1.36865936
1881,1379114.45652008,1379114.45652008,1881,1.379114457
1882,1389723.44522332,1389723.44522332,1882,1.389723445
1883,1400489.5837494,1400489.5837494,1883,1.400489584
1884,1411416.21719723,1411416.21719723,1884,1.411416217
1885,1422506.78076899,1422506.78076899,1885,1.422506781
1886,1433764.80259943,1433764.80259943,1886,1.433764803
1887,1445193.9066813,1445193.9066813,1887,1.445193907
1888,1456797.81588957,1456797.81588957,1888,1.456797816
1889,1468580.35510803,1468580.35510803,1889,1.468580355
1890,1480545.45446119,1480545.45446119,1890,1.480545454
1891,1492697.15265496,1492697.15265496,1891,1.492697153
1892,1505039.60042922,1505039.60042922,1892,1.5050396
1893,1517577.06412588,1517577.06412588,1893,1.517577064
1894,1530313.92937563,1530313.92937563,1894,1.530313929
1895,1543254.70490681,1543254.70490681,1895,1.543254705
1896,1556404.02647986,1556404.02647986,1896,1.556404026
1897,1569766.66095072,1569766.66095072,1897,1.569766661
1898,1583347.51046649,1583347.51046649,1898,1.58334751
1899,1597151.61679678,1597151.61679678,1899,1.597151617
1900,1611184.16580388,1611184.16580388,1900,1.611184166
1901,1625450.49205502,1625450.49205502,1901,1.625450492
1902,1639956.08357971,1639956.08357971,1902,1.639956084
1903,1654706.58677508,1654706.58677508,1903,1.654706587
1904,1669707.81146193,1669707.81146193,1904,1.669707811
1905,1684965.73609399,1684965.73609399,1905,1.684965736
1906,1700486.51312261,1700486.51312261,1906,1.700486513
1907,1716276.47451876,1716276.47451876,1907,1.716276475
1908,1732342.13745396,1732342.13745396,1908,1.732342137
1909,1748690.21014111,1748690.21014111,1909,1.74869021
1910,1765327.59783596,1765327.59783596,1910,1.765327598
1911,1782261.4089991,1782261.4089991,1911,1.782261409
1912,1799498.96161789,1799498.96161789,1912,1.799498962
1913,1817047.78968688,1817047.78968688,1913,1.81704779
1914,1834915.64984439,1834915.64984439,1914,1.83491565
1915,1853110.52816202,1853110.52816202,1915,1.853110528
1916,1871640.64708252,1871640.64708252,1916,1.871640647
1917,1890514.47250056,1890514.47250056,1917,1.890514473
1918,1909740.72097896,1909740.72097896,1918,1.909740721
1919,1929328.36709186,1929328.36709186,1919,1.929328367
1920,1949286.65088414,1949286.65088414,1920,1.949286651
1921,1969625.08543448,1969625.08543448,1921,1.969625085
1922,1990353.46450717,1990353.46450717,1922,1.990353465
1923,2011481.87027531,2011481.87027531,1923,2.01148187
1924,2033020.68109501,2033020.68109501,1924,2.033020681
1925,2054980.57930719,2054980.57930719,1925,2.054980579
1926,2077372.55904012,2077372.55904012,1926,2.077372559
1927,2100207.93398187,2100207.93398187,1927,2.100207934
1928,2123498.34508741,2123498.34508741,1928,2.123498345
1929,2147255.76818065,2147255.76818065,1929,2.147255768
1930,2171492.5214063,2171492.5214063,1930,2.171492521
1931,2196221.27248046,2196221.27248046,1931,2.196221272
1932,2221455.04568287,2221455.04568287,1932,2.221455046
1933,2247207.22852653,2247207.22852653,1933,2.247207229
1934,2273491.57803276,2273491.57803276,1934,2.273491578
1935,2300322.2265315,2300322.2265315,1935,2.300322227
1936,2327713.6868975,2327713.6868975,1936,2.327713687
1937,2355680.85712319,2355680.85712319,1937,2.355680857
1938,2384239.02411797,2384239.02411797,1938,2.384239024
1939,2413403.86661252,2413403.86661252,1939,2.413403867
1940,2443191.45703357,2443191.45703357,1940,2.443191457
1941,2473618.26220139,2473618.26220139,1941,2.473618262
1942,2504701.14268746,2504701.14268746,1942,2.504701143
1943,2536457.35065462,2536457.35065462,1943,2.536457351
1944,2568904.52598476,2568904.52598476,1944,2.568904526
1945,2602060.69048248,2602060.69048248,1945,2.60206069
1946,2635944.23992376,2635944.23992376,1946,2.63594424
1947,2670573.93370013,2670573.93370013,1947,2.670573934
1948,2705968.88178802,2705968.88178802,1948,2.705968882
1949,2742148.52875282,2742148.52875282,1949,2.742148529
1950,2779132.63447533,2779132.63447533,1950,2.779132634
1951,2816941.25126733,2816941.25126733,1951,2.816941251
1952,2855594.69702134,2855594.69702134,1952,2.855594697
1953,2895113.52401867,2895113.52401867,1953,2.895113524
1954,2935518.48299994,2935518.48299994,1954,2.935518483
1955,2976830.48208336,2976830.48208336,1955,2.976830482
1956,3019070.54009979,3019070.54009979,1956,3.01907054
1957,3062259.7338994,3062259.7338994,1957,3.062259734
1958,3106419.13917506,3106419.13917506,1958,3.106419139
1959,3151569.7643419,3151569.7643419,1959,3.151569764
1960,3197732.47701305,3197732.47701305,1960,3.197732477
1961,3244927.92261903,3244927.92261903,1961,3.244927923
1962,3293176.43473445,3293176.43473445,1962,3.293176435
1963,3342497.93670161,3342497.93670161,1963,3.342497937
1964,3392911.83417881,3392911.83417881,1964,3.392911834
1965,3444436.89829225,3444436.89829225,1965,3.444436898
1966,3497091.13913754,3497091.13913754,1966,3.497091139
1967,3550891.66946066,3550891.66946066,1967,3.550891669
1968,3605854.55845119,3605854.55845119,1968,3.605854558
1969,3661994.67570472,3661994.67570472,1969,3.661994676
1970,3719325.52555709,3719325.52555709,1970,3.719325526
1971,3769818.402,3769818.402,1971,3.769818402
1972,3846498.58771536,3846498.58771536,1972,3.846498588
1973,3922793.35237362,3922793.35237362,1973,3.922793352
1974,3997676.86980138,3997676.86980138,1974,3.99767687
1975,4070670.63208062,4070670.63208062,1975,4.070670632
1976,4141444.86314083,4141444.86314083,1976,4.141444863
1977,4213538.6494027,4213538.6494027,1977,4.213538649
1978,4286316.85247518,4286316.85247518,1978,4.286316852
1979,4363144.27190778,4363144.27190778,1979,4.363144272
1980,4439528.731,4439528.731,1980,4.439528731
1981,4514837.58488593,4514837.58488593,1981,4.514837585
1982,4587307.42118161,4587307.42118161,1982,4.587307421
1983,4676388.37721267,4676388.37721267,1983,4.676388377
1984,4756521.21250989,4756521.21250989,1984,4.756521213
1985,4837719.114,4837719.114,1985,4.837719114
1986,4920967.59604797,4920967.59604797,1986,4.920967596
1987,5006671.58298972,5006671.58298972,1987,5.006671583
1988,5093306.05140068,5093306.05140068,1988,5.093306051
1989,5180540.3563216,5180540.3563216,1989,5.180540356
1990,5269029.228,5269029.228,1990,5.269029228
1991,5351921.72452709,5351921.72452709,1991,5.351921725
1992,5435721.52127781,5435721.52127781,1992,5.435721521
1993,5518127.08817819,5518127.08817819,1993,5.518127088
1994,5599396.18700574,5599396.18700574,1994,5.599396187
1995,5681574.956,5681574.956,1995,5.681574956
1996,5762211.77388717,5762211.77388717,1996,5.762211774
1997,5842121.55330021,5842121.55330021,1997,5.842121553
1998,5921366.35005683,5921366.35005683,1998,5.92136635
1999,5999621.8541852,5999621.8541852,1999,5.999621854
2000,6076557.523,6076557.523,2000,6.076557523
2001,6154790.96918813,6154790.96918813,2001,6.154790969
2002,6231703.94514002,6231703.94514002,2002,6.231703945
2003,6308364.37705719,6308364.37705719,2003,6.308364377
2004,6374055.9165775,6374055.9165775,2004,6.374055917
2005,6462986.555,6462986.555,2005,6.462986555
2006,6540213.86251441,6540213.86251441,2006,6.540213863
2007,6616689.01143536,6616689.01143536,2007,6.616689011
2008,6694832.02144162,6694832.02144162,2008,6.694832021
2009,6764086,6764086,2009,6.764086
