,"China"
1821,309413
1823,311396
1825,313379
1827,315362
1829,317345
1831,319328
1833,321311
1835,323294
1837,325277
1839,327260
1841,329243
1843,331226
1845,333209
1847,335192
1849,337175
1851,339158
1853,341141
1855,343124
1857,345107
1859,347090
1861,349073
1863,351056
1865,353039
1867,355022
1869,357005
1871,358988
1873,360971
1875,362966
1877,364971
1879,366988
1881,369183
1883,371560
1885,373952
1887,376359
1889,378783
1891,381979
1893,385969
1895,390000
1897,393970
1899,397980
1901,402243
1903,406766
1905,411340
1907,415965
1909,420642
1911,427662
1913,437140
1915,446829
1917,456732
1919,466855
1921,473673
1923,477037
1925,480425
1927,483837
1929,487273
1931,492640
1933,500000
1935,505292
1937,510640
1939,516046
1941,521508
1943,527028
1945,532607
1947,538244
1949,543941
1951,557480
1953,581390
1955,608655
1957,637408
1959,666005
1961,660330
1963,682335
1965,715185
1967,754550
1969,796025
1971,841105
1973,881940
1975,916395
1977,943455
1979,969005
1981,993861
1983,1023288
1985,1051040
1987,1084035
1989,1118650
1991,1150780
1993,1178440
1995,1204855
1997,1230075
1999,1252735
2001,1271850
2003,1288400
2005,1303720
2007,1317885
2009,1331400
