,"India ",
1820,139800,209000
1821,140642,209842
1822,141487,210687
1823,142336,211536
1824,143189,212389
1825,144045,213245
1826,144904,214104
1827,145767,214967
1828,146633,215833
1829,147503,216703
1830,148376,217576
1831,149253,218453
1832,150133,219333
1833,151017,220217
1834,151904,221104
1835,152795,221995
1836,153690,222890
1837,154588,223788
1838,155490,224690
1839,156396,225596
1840,157305,226505
1841,158217,227417
1842,159134,228334
1843,160054,229254
1844,160978,230178
1845,161905,231105
1846,162837,232037
1847,163772,232972
1848,164711,233911
1849,165653,234853
1850,166600,235800
1851,167431,236631
1852,168266,237466
1853,169103,238303
1854,169943,239143
1855,170787,239987
1856,171633,240833
1857,172482,241682
1858,173335,242535
1859,174190,243390
1860,175048,244248
1861,175909,245109
1862,176774,245974
1863,177641,246841
1864,178512,247712
1865,179385,248585
1866,180262,249462
1867,181142,250342
1868,182025,251225
1869,182910,252110
1870,183800,253000
1871,184217,253417
1872,184634,253834
1873,185053,254253
1874,185472,254672
1875,185891,255091
1876,186312,255512
1877,186733,255933
1878,187154,256354
1879,187577,256777
1880,188000,257200
1881,190159,259359
1882,192336,261536
1883,194532,263732
1884,196746,265946
1885,198979,268179
1886,201230,270430
1887,203500,272700
1888,205790,274990
1889,208098,277298
1890,210426,279626
1891,210910,280110
1892,211394,280594
1893,211879,281079
1894,212365,281565
1895,212852,282052
1896,213340,282540
1897,213829,283029
1898,214318,283518
1899,214809,284009
1900,215300,284500
1901,217000,286200
1902,218800,288000
1903,220500,289700
1904,222300,291500
1905,224100,293300
1906,225900,295100
1907,227700,296900
1908,229500,298700
1909,231300,300500
1910,232900,302100
1911,233900,303100
1912,234200,303400
1913,234500,303700
1914,234800,304000
1915,235000,304200
1916,235300,304500
1917,235600,304800
1918,235900,305100
1919,236100,305300
1920,236400,305600
1921,238100,307300
1922,241200,310400
1923,244400,313600
1924,247500,316700
1925,250700,319900
1926,254000,323200
1927,257200,326400
1928,260500,329700
1929,263900,333100
1930,267200,336400
1931,271800,341000
1932,276600,345800
1933,281500,350700
1934,286400,355600
1935,291400,360600
1936,296500,365700
1937,301700,370900
1938,306900,376100
1939,312200,381400
1940,317600,386800
1941,322500,391700
1942,327100,396300
1943,331700,400900
1944,336400,405600
1945,341200,410400
1946,346000,415200
1947,346000,346000
1948,350000,350000
1949,355000,355000
1950,359000,359000
1951,365000,365000
1952,372000,372000
1953,379000,379000
1954,386000,386000
1955,393000,393000
1956,401000,401000
1957,409000,409000
1958,418000,418000
1959,426000,426000
1960,434000,434000
1961,444000,444000
1962,454000,454000
1963,464000,464000
1964,474000,474000
1965,485000,485000
1966,495000,495000
1967,506000,506000
1968,518000,518000
1969,529000,529000
1970,541000,541000
1971,554000,554000
1972,567000,567000
1973,580000,580000
1974,593000,593000
1975,607000,607000
1976,620000,620000
1977,634000,634000
1978,648000,648000
1979,664000,664000
1980,679000,679000
1981,692000,692000
1982,708000,708000
1983,723000,723000
1984,739000,739000
1985,755000,755000
1986,771000,771000
1987,788000,788000
1988,805000,805000
1989,822000,822000
1990,839000,839000
1991,853724,853724
1992,869090,869090
1993,884943,884943
1994,901176,901176
1995,917772,917772
1996,934692,934692
1997,951861,951861
1998,969153,969153
1999,986477,986477
2000,1004124,1004124
2001,1021967,1021967
2002,1039691,1039691
2003,1057504,1057504
2004,1065070,1065070
2005,1093563,1093563
2006,1111714,1111714
2007,1129866,1129866
2008,1147996,1147996
2009,1156898,1156898
