year,population
1820,9980.5102
1821,10298.9689579615
1822,10625.5031864662
1823,10951.0772688234
1824,11276.6945943729
1825,11602.3546584144
1826,11928.0569621383
1827,12250.9049125563
1828,12580.5902224344
1829,12906.4163102248
1830,13240.3139
1831,13658.580289287
1832,14077.8899133795
1833,14496.2345133791
1834,14914.6175357411
1835,15334.042432212
1836,15752.5009597679
1837,16170.9965805533
1838,16590.5327618213
1839,17009.1012758731
1840,17443.768
1841,18056.0999749495
1842,18667.4644537859
1843,19278.8649032427
1844,19890.3008952101
1845,20502.7759066734
1846,21114.2817196525
1847,21725.821821142
1848,22337.3958030519
1849,22950.0071621492
1850,23579.7179
1851,24405.3027334227
1852,25230.9179656758
1853,26156.9532457504
1854,26882.238226691
1855,27707.9425655479
1856,28534.6798233319
1857,29360.4418649675
1858,30186.2322592486
1859,31012.0506787933
1860,31838.9007
1861,32677.7424607967
1862,33515.6093245845
1863,34354.5087446936
1864,35192.4325785978
1865,36031.3882878649
1866,36869.3677381082
1867,37708.3783989379
1868,38546.4121439131
1869,39385.476450495
1870,40240.6295
1871,41098
1872,42136
1873,43174
1874,44212
1875,45245
1876,46287
1877,47325
1878,48362
1879,49400
1880,50458
1881,51743
1882,53027
1883,54311
1884,55595
1885,56879
1886,58164
1887,59448
1888,60732
1889,62016
1890,63302
1891,64612
1892,65922
1893,67231
1894,68541
1895,69851
1896,71161
1897,72471
1898,73781
1899,75091
1900,76391
1901,77888
1902,79469
1903,80946
1904,82485
1905,84147
1906,85770
1907,87339
1908,89055
1909,90845
1910,92767
1911,94234
1912,95703
1913,97606
1914,99505
1915,100941
1916,102364
1917,103817
1918,104958
1919,105473
1920,106881
1921,108964
1922,110484
1923,112387
1924,114558
1925,116284
1926,117857
1927,119502
1928,120971
1929,122245
1930,123668
1931,124633
1932,125436
1933,126180
1934,126978
1935,127859
1936,128681
1937,129464
1938,130476
1939,131539
1940,132637
1941,133922
1942,135386
1943,137272
1944,138937
1945,140474
1946,141940
1947,144688
1948,147203
1949,149770
1950,152271
1951,154878
1952,157553
1953,160184
1954,163026
1955,165931
1956,168903
1957,171984
1958,174882
1959,177830
1960,180671
1961,183691
1962,186538
1963,189242
1964,191889
1965,194303
1966,196560
1967,198712
1968,200706
1969,202677
1970,205052
1971,207661
1972,209896
1973,211909
1974,213854
1975,215973
1976,218035
1977,220239
1978,222585
1979,225055
1980,227726.463
1981,229966.237
1982,232187.835
1983,234307.207
1984,236348.292
1985,238466.283
1986,240650.755
1987,242803.533
1988,245021.414
1989,247341.697
1990,250131.894
1991,253492.503
1992,256894.189
1993,260255.352
1994,263435.673
1995,266557.091
1996,269667.391
1997,272911.76
1998,276115.288
1999,279294.713
2000,282158
2001,284915
2002,287501
2003,289986
2004,292806
2005,295583
2006,298442
2007,301280
2008,304228
2009,307212
